Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2021-08-16,3016.946533203125,3035.5368090935935,2985.282514035125,3005.6969295974195,2083489
2021-08-17,3086.52978515625,3093.2621997032534,3008.3034291964027,3024.895658268676,4336019
2021-08-18,3093.04443359375,3122.9710539890493,3072.2391472921595,3104.5981658626997,2631309
2021-08-20,3092.13232421875,3105.5971510274003,3040.4447632436086,3045.656954266312,2836148
2021-08-23,3159.803955078125,3190.729707647399,3094.2172159201127,3109.9407441812386,3744176
2021-08-24,3138.78173828125,3185.821894709705,3122.4501621886025,3176.8307793682116,2511141
2021-08-25,3178.56787109375,3212.229938599867,3133.4390255895655,3136.001643795692,2123263
2021-08-26,3189.73046875,3203.412469252929,3168.9249713334366,3179.436307347297,1902533
2021-08-27,3231.68798828125,3239.810402452228,3171.7045386194036,3184.6480588255445,3944728
2021-08-30,3215.313720703125,3249.2364387035072,3203.412593965281,3227.214847440969,2033114
2021-08-31,3289.283203125,3304.6158580161027,3217.1812317850963,3222.349945144956,3207480
2021-09-01,3227.171875,3315.5619590111364,3220.265763432762,3297.5799401108075,2643336
2021-09-02,3332.978759765625,3352.437520105116,3233.2956131746023,3243.7199945174543,3403717
2021-09-03,3337.582763671875,3350.4828077907487,3305.00657334456,3322.7714133861414,1746812
2021-09-06,3346.226318359375,3368.4650827752403,3313.2157783547914,3344.2282695737613,1723693
2021-09-07,3314.86669921875,3361.819898080558,3308.221240170939,3356.651184145082,1585039
2021-09-08,3278.597900390625,3314.08431398627,3262.8311096546345,3309.7408220937587,4147175
2021-09-09,3293.583251953125,3308.6117777077047,3270.649697473994,3292.1065069900405,1441148
2021-09-13,3340.4501953125,3346.5743506812473,3272.3875762084303,3272.3875762084303,1691473
2021-09-14,3375.67529296875,3384.8835815661164,3322.771641085691,3344.445625451803,1991188
2021-09-15,3435.3115234375,3457.419856737662,3358.3882327004526,3372.374362683401,2461369
2021-09-16,3390.791015625,3458.9403729078654,3381.0616345028816,3413.985223966324,2946666
2021-09-17,3325.24755859375,3427.015500602913,3305.3977135092737,3405.2980386219065,6477148
2021-09-20,3321.468994140625,3362.7321763615428,3307.8739463058937,3308.8728648310816,2002008
2021-09-21,3355.739013671875,3363.209906018723,3319.861721221568,3351.438998276078,1568129
2021-09-22,3355.043701171875,3385.1877076595533,3346.6173684546684,3355.3478304693117,1744067
2021-09-23,3361.2119140625,3369.6817250496706,3331.458988287055,3361.86343798459,2003869
2021-09-24,3362.992919921875,3426.494660091767,3348.8330903783194,3379.2375412637257,2320754
2021-09-27,3333.152587890625,3391.3988633473587,3303.573362252145,3387.9240694299947,1673362
2021-09-28,3282.94140625,3344.4887714625593,3258.7048062205004,3344.4887714625593,2253075
2021-09-29,3294.017822265625,3306.2665561909757,3233.4261006959136,3266.13272711656,2489161
2021-09-30,3279.814453125,3305.397579887502,3257.7061201389893,3305.397579887502,2252412
2021-10-01,3240.4189453125,3309.7411246713523,3235.9017557482384,3285.200393235141,1578374
2021-10-04,3277.8603515625,3286.851254497421,3220.6564659820315,3235.7284709822225,1356860
2021-10-05,3329.98193359375,3335.802171006452,3250.322325208248,3261.0941015516205,1877966
2021-10-06,3310.52294921875,3350.9609058383885,3296.7107282346856,3332.327365878328,1678154
2021-10-07,3381.75634765625,3387.055493405651,3318.4717883990315,3327.115296164053,1647233
2021-10-08,3418.89306640625,3466.019958648897,3387.9240506234883,3409.6415124864593,2934339
2021-10-11,3201.67529296875,3264.1346306074806,3179.436526420061,3261.9628843462647,11845402
2021-10-12,3173.225830078125,3220.265775386487,3153.897285836865,3219.3970767689025,5752877
