Date,Close,High,Low,Open,Volume
2021-08-16,675.88623046875,680.4553039522438,672.0385896405447,675.6457529169871,7920846
2021-08-17,674.491455078125,676.1267141870945,665.1609142425605,673.1447572918347,8669653
2021-08-18,662.0827026367188,674.1546625137918,657.5617134755323,674.1546625137918,11069373
2021-08-20,654.772216796875,658.331295908859,649.6259625357944,657.8021983856047,13121808
2021-08-23,656.6961059570312,663.6699549141991,648.1831654520779,663.6699549141991,10917371
2021-08-24,667.99853515625,670.6918719138004,654.4837088913059,657.2251294157104,9821388
2021-08-25,664.72802734375,673.7700066449852,660.9766128160503,673.2890515483309,9535359
2021-08-26,672.1828002929688,674.8280532023797,663.7180027249211,665.6899067880511,10756731
2021-08-27,673.0966186523438,673.7699674905975,662.8041684399942,669.5856231666646,9135827
2021-08-30,686.4672241210938,687.7657793812447,674.2028693139456,677.6657224812404,10797869
2021-08-31,691.6614990234375,692.4791578977184,682.3309585915356,686.803864385746,19760246
2021-09-01,692.4791870117188,706.8116139838213,689.8820176900919,699.8858486962628,13729351
2021-09-02,697.5291137695312,700.3186177584294,690.1704782179872,694.7876348319437,8627956
2021-09-03,696.7114868164062,703.9258127023493,693.633362696337,697.1443581116297,8993813
2021-09-06,693.6815185546875,700.2705795068472,692.5752984133653,697.7696366355998,5329995
2021-09-07,689.5934448242188,694.9320346841002,684.5434162818343,693.4410856184164,6242711
2021-09-08,693.4890747070312,695.2205010859677,687.7656980649837,689.2085631658193,7118011
2021-09-09,692.8158569335938,696.3268528270436,690.2667712892708,693.3448958285451,6243422
2021-09-13,680.455322265625,690.555379711491,678.3391080110895,690.555379711491,6967906
2021-09-14,680.5033569335938,686.8038567626685,679.5895305361698,686.0824241400186,5241865
2021-09-15,687.1405029296875,688.7276781861788,679.3971378429858,680.1666542329699,5936741
2021-09-16,699.5010375976562,701.6172515631584,685.6975924140474,692.5752731243462,13557169
2021-09-17,692.7196044921875,706.4268238622698,686.8038337009652,704.983958665419,17075003
2021-09-20,682.9561767578125,692.9600653662858,679.589491379429,682.9561767578125,7943459
2021-09-21,684.7357177734375,687.2848031587205,667.9504326001814,684.0624276357428,10009615
2021-09-22,676.5595092773438,687.7657864853312,675.5014315515018,687.7657864853312,9740470
2021-09-23,689.6895751953125,692.5753056354603,680.2147837342951,683.918114315017,10412491
2021-09-24,695.4130249023438,697.0001415838975,689.2567758365958,695.0763210896441,11780868
2021-09-27,702.1943969726562,703.8777397051249,694.7876772077269,696.9038912420403,7712240
2021-09-28,689.8338623046875,707.3887218995771,679.6856636254017,706.1381917820847,13491800
2021-09-29,682.4752807617188,684.8319724725902,674.5876054505937,680.407150366184,11453404
2021-09-30,674.1546630859375,686.7076367285839,672.1827591435228,682.5713763733572,18487517
2021-10-01,665.9784545898438,668.3832299132855,661.6980014823853,666.6037196580726,10935810
2021-10-04,673.5294189453125,676.5594003324971,667.6136487398155,670.4993788477985,8976533
2021-10-05,670.5474853515625,672.3751379660749,665.4974574913023,666.6036775543489,7497208
2021-10-06,663.237060546875,678.1466681443754,662.1308403700223,670.0665992525628,13200810
2021-10-07,675.4533081054688,678.0985609750206,667.0365944296218,670.9804024964559,10041549
2021-10-08,676.6076049804688,682.9561883173127,671.7018281198759,679.1085478197504,9383924
2021-10-11,686.1304931640625,691.998180261745,673.625661306808,675.2609202917469,9337637
2021-10-12,681.6094360351562,685.8418637274239,677.5694608047454,679.5894484199508,7376091
2021-10-13,682.9080810546875,688.6314578399403,680.9842608721038,686.6594951845259,6357766
2021-10-14,699.5972900390625,702.0020655848522,682.042428554798,683.196732558845,8950350
2021-10-18,717.055908203125,720.3745098476543,704.1662891558037,710.8515762086283,15345601
2021-10-19,718.9797973632812,726.2422076981952,710.6111668040288,726.2422076981952,11349799
2021-10-20,717.4407348632812,728.5989289643677,713.6412363526085,718.3064775704693,12762996
2021-10-21,726.7230834960938,730.9073689639233,709.3125340996456,720.3745002944903,12166996
2021-10-22,730.3782958984375,736.6787950414567,724.654919306561,729.6087795934703,13248928
2021-10-25,809.6397705078125,833.9760851252244,767.9890735002576,769.5281062285807,96124084
2021-10-26,797.8082275390625,809.6397095393108,791.0267146453249,797.1348787547508,16925115
2021-10-27,803.1949462890625,816.6616879034899,792.8063287857138,797.183008068336,22898400
2021-10-28,768.277587890625,800.2610978529883,765.9208964671213,798.4815289897856,18750423
2021-10-29,771.5,777.9448095460341,754.0413665482897,767.6042757560868,15701200
2021-11-01,773.279541015625,778.8586077680014,762.7946976022804,776.9347875975039,11406421
2021-11-02,770.44189453125,779.1471690607887,767.6042480376659,778.1852589755284,9452457
2021-11-03,756.0133056640625,775.2995927236186,750.7227997583802,775.2995927236186,11839149
2021-11-04,752.3099365234375,758.9471403221777,749.3280384169536,758.4661852269164,3149310
2021-11-08,750.4342041015625,762.7947256676549,743.7008332570813,762.7947256676549,13967995
2021-11-09,756.5904541015625,758.5623582643697,749.5204376340731,754.1375948400054,10084357
2021-11-10,751.1556396484375,754.4260988452852,743.6526937096465,752.7427561275397,9507347
2021-11-11,742.0655517578125,747.4041410230534,736.9192975425867,747.115579737698,9221059
2021-11-12,747.0194091796875,750.1937596861887,741.8251295251473,743.267994769798,15380106
2021-11-15,743.8450927734375,754.6665817502892,742.161750043705,747.4041720012247,10934583
2021-11-16,734.9473876953125,746.2017474164606,732.9754837658305,743.8450559693728,12785837
2021-11-17,732.3021850585938,742.5465516347117,727.4926343111837,731.9174562250028,11657214
2021-11-18,733.84130859375,738.2660719906005,727.5888923488785,735.7651289767874,20644385
2021-11-22,723.3564453125,741.1036996290563,712.0540008544922,739.0355692866476,20403786
2021-11-23,723.2120971679688,729.0797841012621,703.3486885004858,712.7273121306753,24913042
2021-11-24,731.2440795898438,742.8350847085579,718.2582930653174,721.6730622241446,23186419
2021-11-25,722.442626953125,726.1941001289069,716.9116434333895,726.1460163621073,17749726
2021-11-26,694.6914672851562,713.7853587726801,691.2285557920573,710.8515447886228,18987552
2021-11-29,691.0362548828125,700.0300910361755,683.4371414375852,699.068180914518,15878074
2021-11-30,687.1405029296875,704.4068021346626,684.0142948932279,689.4491108099772,23965914
2021-12-01,699.9820556640625,704.8396903721886,687.7657845323982,689.1124822799538,15214913
2021-12-02,694.8838500976562,699.4047804066391,687.9580859308707,697.0000052591671,21924640
2021-12-03,689.0161743164062,701.7133990362358,687.8618704854523,693.056208369579,20130259
2021-12-06,682.5233764648438,699.1163275557735,680.5514722801636,691.6134396741168,20129080
2021-12-07,706.6672973632812,712.7273194134128,684.8800095310052,689.6895601597341,30513303
2021-12-08,724.7031860351562,729.8974660170423,715.757373986283,719.4126798046935,33432411
2021-12-09,726.2421875,733.9374689569537,719.8936037821486,730.1379119955152,16007459
2021-12-10,729.1279296875,730.8593563008907,722.4426420729676,727.6850643912846,7627774
2021-12-13,725.2801513671875,740.3821503459438,723.8372863445737,733.9373415028701,16855546
2021-12-14,729.7531127929688,735.2359533341739,717.8734879629149,722.4425608874742,17488089
2021-12-15,723.5968627929688,730.5707109222462,722.2983076599259,728.7430582731992,7358740
2021-12-16,712.9197387695312,729.0317339540828,710.803524674866,729.0317339540828,14123215
2021-12-17,700.5591430664062,713.7373237235854,698.3948452518806,713.7373237235854,13227787
2021-12-20,682.9080810546875,692.7676594904285,671.6056374820087,690.7476130725161,16900016
2021-12-21,692.9119262695312,701.18438846579,688.8719507640491,692.5752812141857,14563335
2021-12-22,704.8876953125,706.9558254698961,692.6233417850086,698.5871960267178,9843359
2021-12-23,703.4448852539062,711.3325602742,700.2225097158387,710.8996889619862,9994049
