Date,Close,High,Low,Open,Volume
,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS,BHARTIARTL.NS
2021-08-16,600.7145385742188,610.1413837412454,598.7722724363844,605.1673938633755,10506327
2021-08-17,593.41943359375,604.4569312086994,590.2455550736845,600.7146117820889,11311229
2021-08-18,590.1981811523438,600.6672377054481,588.2086085530008,592.9930793892864,7136872
2021-08-20,581.4345092773438,599.7198197397695,575.0867522978397,586.9295754492251,12770173
2021-08-23,589.9139404296875,597.3512141221274,575.6551991180235,585.8873710909104,12790616
2021-08-24,587.4979248046875,594.9351972617574,584.6082966717127,594.9351972617574,5885050
2021-08-25,580.2501831054688,589.6297227494076,578.8764166105404,589.6297227494076,8127668
2021-08-26,556.04345703125,579.35006069507,553.5801153086818,577.9289291990756,26316897
2021-08-27,563.8596801757812,573.5707743456113,554.29068147454,557.843539484344,16444274
2021-08-30,587.82958984375,592.1403498308214,559.0752248067874,564.665020914823,40506274
2021-08-31,629.1372680664062,632.974376511243,592.14036247644,593.1351487322477,60781970
2021-09-01,631.3636474609375,637.9009228865848,619.6156155815833,632.8795681513478,30796359
2021-09-02,631.4584350585938,638.327207657755,629.1371888713787,634.7270433070394,18951106
2021-09-03,623.8317260742188,634.3955125661003,619.6156962925971,632.8796505901216,7920313
2021-09-06,620.18408203125,630.7478675839429,619.047200378316,629.4688315404746,10223448
2021-09-07,635.2955322265625,644.722377514275,613.9310757319981,623.3579799316025,28185127
2021-09-08,632.7374267578125,647.848856431375,630.0372592484539,642.3537910955341,20876941
2021-09-09,650.0753784179688,652.0175857606828,631.9795884750104,632.7374899996408,19784500
2021-09-13,656.8494262695312,660.354860447562,649.791074930301,655.6177553897422,19704664
2021-09-14,657.7022094726562,662.9130257691952,652.8703145045289,658.4601110413776,11694600
2021-09-15,687.3565063476562,696.309641179077,659.5496218896257,660.3548885453959,56796797
2021-09-16,680.8192138671875,698.2518299843115,677.7874314899932,696.3569880905222,45001991
2021-09-17,689.8671875,696.1202138713616,683.093144328236,683.093144328236,26649321
2021-09-20,686.83544921875,695.1254131026108,682.4298999701616,686.8828143814344,14330899
2021-09-21,688.4459838867188,701.8046670909863,684.0404939186104,684.8931845993769,14216876
2021-09-22,688.540771484375,693.5621263277425,686.0300646067468,688.7775972774217,16348622
2021-09-23,688.588134765625,701.1888575423541,685.1773720599407,694.841101539565,26497345
2021-09-24,700.5257568359375,713.4107307707692,689.7250857313256,690.7198719831936,72175065
